gID	cind
NM_014655	7
NM_015043	7
NM_015130	7
NM_015134	7
NM_015137	7
NM_015213	7
NM_015282	7
NM_015941	7
NM_015994	7
NM_016127	7
NM_016128	7
NM_016202	7
NM_016319	7
NM_016592	7
NM_016607	7
NM_016641	7
NM_017670	7
NM_017958	7
NM_018067	7
NM_018184	7
NM_018235	7
NM_018368	7
NM_018398	7
NM_018639	7
NM_019594	7
NM_020132	7
NM_020145	7
NM_020338	7
NM_020444	7
NM_020532	7
NM_020899	7
NM_022087	7
NM_022149	7
NM_022818	7
NM_024326	7
NM_025141	7
NM_025219	7
NM_030571	7
NM_030912	7
NM_030971	7
NM_031477	7
NM_032144	7
NM_032350	7
NM_032520	7
NM_033296	7
NM_080425	7
NM_080491	7
NM_080840	7
NM_080841	7
NM_133264	7
NM_152221	7
NM_172226	7
NM_176806	7
NM_176812	7
NM_177424	7
NM_177948	7
NM_182752	7
NM_198969	7
NM_207115	7
NM_207521	7
NM_212471	7
NM_213620	7
NM_000036	8
NM_000124	8
NM_000125	8
NM_000150	8
NM_000219	8
NM_000245	8
NM_000322	8
NM_000379	8
NM_000458	8
NM_000549	8
NM_000614	8
NM_000707	8
NM_000722	8
NM_000762	8
NM_000793	8
NM_000795	8
NM_000965	8
NM_000966	8
NM_001001290	8
NM_001007023	8
NM_001014447	8
NM_001024912	8
NM_001030004	8
NM_001045	8
NM_001133	8
NM_001135	8
NM_001172	8
NM_001218	8
NM_001296	8
NM_001308	8
NM_001460	8
NM_001496	8
NM_001510	8
NM_001565	8
NM_001586	8
NM_001718	8
NM_001732	8
NM_001815	8
NM_001841	8
NM_001883	8
NM_001917	8
NM_001944	8
NM_002022	8
NM_002043	8
NM_002063	8
NM_002066	8
NM_002290	8
NM_002377	8
NM_002387	8
NM_002416	8
NM_002426	8
NM_002565	8
NM_002644	8
NM_002718	8
NM_002776	8
NM_002864	8
NM_002981	8
NM_002986	8
NM_003014	8
NM_003049	8
NM_003320	8
NM_003532	8
NM_003612	8
NM_003613	8
NM_003637	8
NM_003638	8
NM_003770	8
NM_003891	8
NM_004055	8
NM_004137	8
NM_004139	8
NM_004173	8
NM_004262	8
NM_004314	8
NM_004828	8
NM_004943	8
NM_004977	8
NM_004991	8
NM_004995	8
NM_005158	8
NM_005172	8
NM_005191	8
NM_005372	8
NM_005400	8
NM_005401	8
NM_005423	8
NM_005446	8
NM_005454	8
NM_005460	8
NM_005547	8
NM_005684	8
NM_005769	8
NM_005971	8
NM_005995	8
NM_006080	8
NM_006093	8
NM_006192	8
NM_006236	8
NM_006262	8
NM_006505	8
NM_006514	8
NM_006522	8
NM_006656	8
NM_006707	8
NM_006917	8
NM_006952	8
NM_007238	8
NM_007264	8
NM_007314	8
NM_007374	8
NM_012074	8
NM_012125	8
NM_012304	8
NM_012400	8
NM_012427	8
NM_014162	8
NM_014244	8
NM_014270	8
NM_014370	8
NM_014496	8
NM_014576	8
NM_014621	8
NM_015052	8
NM_015065	8
NM_015082	8
NM_015596	8
NM_015852	8
NM_015983	8
NM_016583	8
NM_017417	8
NM_017506	8
NM_017581	8
NM_017637	8
NM_017639	8
NM_017677	8
NM_017700	8
NM_017759	8
NM_017888	8
NM_017990	8
NM_017991	8
NM_018222	8
NM_018252	8
NM_018489	8
NM_018558	8
NM_018654	8
NM_018958	8
NM_019599	8
NM_020041	8
NM_020127	8
NM_020393	8
NM_020407	8
NM_020630	8
NM_020634	8
NM_020660	8
NM_020678	8
NM_020826	8
NM_021010	8
NM_021176	8
NM_021628	8
NM_021801	8
NM_022139	8
NM_022144	8
NM_024101	8
NM_024689	8
NM_024787	8
NM_025106	8
NM_030572	8
NM_030642	8
NM_031273	8
NM_031283	8
NM_032744	8
NM_130830	8
NM_145888	8
NM_145910	8
NM_147129	8
NM_153212	8
NM_153609	8
NM_173817	8
NM_177972	8
NM_178850	8
NM_181897	8
NM_182775	8
NM_199348	8
NM_201264	8
NM_201636	8
NM_000026	9
NM_001002255	9
NM_001003810	9
NM_001005849	9
NM_001007793	9
NM_001008411	9
NM_001010850	9
NM_001012456	9
NM_001018067	9
NM_001025079	9
NM_001025203	9
NM_001025248	9
NM_001029991	9
NM_001031684	9
NM_001032293	9
NM_001032296	9
NM_001273	9
NM_001291	9
NM_001293	9
NM_001363	9
NM_001379	9
NM_001414	9
NM_001436	9
NM_001521	9
NM_001641	9
NM_001760	9
NM_001948	9
NM_002094	9
NM_002095	9
NM_002106	9
NM_002107	9
NM_002128	9
NM_002139	9
NM_002208	9
NM_002296	9
NM_002370	9
NM_002388	9
NM_002710	9
NM_002721	9
NM_002786	9
NM_002790	9
NM_002793	9
NM_002817	9
NM_002823	9
NM_002893	9
NM_002896	9
NM_002938	9
NM_002945	9
NM_003016	9
NM_003017	9
NM_003091	9
NM_003094	9
NM_003095	9
NM_003096	9
NM_003146	9
NM_003286	9
NM_003331	9
NM_003403	9
NM_003457	9
NM_003470	9
NM_003576	9
NM_003668	9
NM_003751	9
NM_003860	9
NM_003902	9
NM_003915	9
NM_004175	9
NM_004182	9
NM_004279	9
NM_004300	9
NM_004358	9
NM_004499	9
NM_004500	9
NM_004516	9
NM_004593	9
NM_004596	9
NM_004597	9
NM_004623	9
NM_004632	9
NM_004697	9
NM_004786	9
NM_004818	9
NM_004893	9
NM_004922	9
NM_004964	9
NM_004965	9
NM_004966	9
NM_005066	9
NM_005243	9
NM_005466	9
NM_005499	9
NM_005517	9
NM_005520	9
NM_005548	9
NM_005610	9
NM_005626	9
NM_005643	9
NM_005659	9
NM_005826	9
NM_005839	9
NM_005858	9
NM_005871	9
NM_005916	9
NM_005968	9
NM_006047	9
NM_006306	9
NM_006401	9
NM_006476	9
NM_006527	9
NM_006537	9
NM_006559	9
NM_006601	9
NM_006739	9
NM_006842	9
NM_006893	9
NM_006924	9
NM_006938	9
NM_006999	9
NM_007007	9
NM_007040	9
NM_007062	9
NM_007080	9
NM_007266	9
NM_007363	9
NM_012071	9
NM_012073	9
NM_012103	9
NM_012138	9
NM_012247	9
NM_012325	9
NM_013247	9
NM_013393	9
NM_013397	9
NM_013438	9
NM_013986	9
NM_014014	9
NM_014706	9
NM_014740	9
NM_014755	9
NM_015050	9
NM_015056	9
NM_015156	9
NM_015607	9
NM_015853	9
NM_015933	9
NM_015972	9
NM_016047	9
NM_016082	9
NM_016126	9
NM_016199	9
NM_016200	9
NM_016237	9
NM_016258	9
NM_016312	9
NM_016404	9
NM_016626	9
NM_017443	9
NM_017730	9
NM_017751	9
NM_017798	9
NM_017822	9
NM_017875	9
NM_017895	9
NM_017918	9
NM_017951	9
NM_018069	9
NM_018622	9
NM_018959	9
NM_018983	9
NM_019096	9
NM_020122	9
NM_020232	9
NM_020810	9
NM_021814	9
NM_022362	9
NM_022492	9
NM_022730	9
NM_022768	9
NM_024828	9
NM_024844	9
NM_024960	9
NM_025205	9
NM_025234	9
NM_031206	9
NM_031420	9
NM_032313	9
NM_032815	9
NM_053067	9
NM_080916	9
NM_138609	9
NM_144563	9
NM_144732	9
NM_148976	9
NM_152925	9
NM_153477	9
NM_153638	9
NM_153640	9
NM_172373	9
NM_181575	9
NM_182776	9
NM_194442	9
NM_198887	9
NM_000044	10
NM_000450	10
NM_000552	10
NM_000618	10
NM_001002231	10
NM_001011645	10
NM_001018011	10
NM_001018049	10
NM_001030050	10
NM_001031699	10
NM_001099	10
NM_001174	10
NM_001206	10
NM_001299	10
NM_001330	10
NM_001608	10
NM_001615	10
NM_001769	10
NM_001927	10
